let,Oに〜させる
create,(を)つくり出す
cause,を引き起こす
increase,増加する
leave,OをCのままにしておく
develop,を開発する
reduce,を減らす
improve,を進歩[向上]させる
produce,(製品・農作物など)を作る
agree,意見が一致する
tell,がわかる
allow,を許す
prepare,(を)準備する
own,を所有している
check,(を)検査[点検]する
suggest,を提案する
cost,(費用)がかかる
meet,(要求・条件など)を満たす
provide,を提供[供給]する
waste,を浪費する
protect,を保護する
offer,を申し出る
describe,(の特徴)を述べる
damage,に損傷[損害]を与える
disagree,意見が食い違う
recommend,を推薦する
repair,を修理する
share,を共有する
follow,に続く
lead,つながる
attract,(注意・興味など)を引く
encourage,を促す
support,を支持[支援]する
raise,(子ども)を育てる
hire,を雇う
charge,(税金など)を課す
care,気にかける
book,を予約する
store,を蓄える
train,を訓練する
last,続く
park,を駐車する
run,を経営[運営]する
pay,給料
brain,頭脳
customer,顧客
order,順番
research,調査
environment,環境
result,結果
amount,量
situation,状況
garbage,ゴミ
device,装置
exercise,運動
skill,技能
metal,金属
electricity,電気
traffic,交通(量)
stress,(心身への)ストレス
employee,従業員
education,教育
presentation,発表
design,デザイン
experience,経験
expert,専門家
fact,事実
staff,スタッフ
fuel,燃料
tour,見学
taste,好み
benefit,利益
practice,実践
activity,活動
subject,話題
professor,教授
memory,記憶(力)
effect,影響
patient,患者
project,(組織的)計画
article,記事
material,材料
bill,請求書
technology,科学技術
security,安全
discount,割引
review,批評
flight,定期航空便
smartphone,スマートフォン
supplement,サプリメント
chemical,化学の
ancient,古代の
common,共通の
likely,〜しそうで
recently,最近
probably,たぶん
actually,実は
though,…だけれども
while,…している間に
whether,…かどうか
form,を組織する
cancel,を取り消す
relax,くつろぐ
add,を加える
contact,と連絡を取る
purchase,(高価な物・大量の物)を購入する
expect,を予期する
continue,を続ける
require,を要求する
replace,を取り替える
suffer,苦しむ
fix,を修理する
serve,(に)食事を出す
include,を含む
attend,に出席する
quit,をやめる
prefer,の方を好む
recycle,(を)再生利用する
face,に直面する
invent,を発明する
prevent,を防ぐ
decrease,を減らす
attach,を添付する
shape,を形作る
fill,を満たす
exchange,を交換し合う
realize,に気づく
lower,を下げる
guess,だと思う
gain,を得る
suit,に似合う
land,着陸する
award,AにB(賞など)を与える
statement,陳述
insect,虫
department,部門
membership,会員資格
fat,脂肪
sentence,文
community,地域社会
instrument,機器
focus,焦点
client,顧客
bacteria,細菌
retirement,(定年による)退職
nature,性質
earth,地球
grocery,食料雑貨店
trash,ゴミ
method,(研究・調査などの)方法
site,場所
tablet,タブレット
organization,組織
treatment,治療
farming,農業
case,場合
announcement,アナウンス
author,著者
biology,生物学
advertisement,広告
account,口座
data,データ
solution,解決(策)
harm,害
competition,競技(会)
industry,産業
participant,参加者
charity,慈善(事業)
medicine,薬
opinion,意見
payment,支払い
population,人口
access,入手方法
generation,(同)世代
resident,居住者
quality,質
distance,距離
variety,種類
career,職業
item,品目
view,見解
present,現在の
recent,最近の
available,手に入る
extra,余分の
successful,成功した
nearby,すぐ近くの
certain,一定の
similar,類似した
various,さまざまな
effective,効果的な
huge,ばく大な
serious,深刻な
social,社会の
nowadays,近ごろは
somewhere,どこかに
moreover,その上
sincerely,心から
rather,かなり
originally,本来(は)

